keys,fr
gas_mask_description,"Couvre entièrement la tête, filtrant l’air entrant d’une manière qui élimine les gaz toxiques tels que le chlore, le monoxyde de carbone et les pets paralytiques de votre mère"
shirt_name,Chemise courte
shirt_description,"C’est une sacrée chemise garçon, tu n’as jamais entendu parler d’une chemise ? Celle-ci manque un peu de longueur cependant."
tentacle_arms_name,Tentacules de bras
tentacle_arms_description,Pour quelque chose de si humide et visqueux qu’il fait un très bon travail en gardant vos mains liées
pointed_earrings_name,Boucles d’oreilles pointues
pointed_earrings_description,"Des cristaux suspendus à des trous violemment déchirés à travers les lobes des oreilles, afin d’éblouir les spectateurs avec un attrait esthétique"
rope_full_leg_name,Cordes de jambe
rope_full_leg_description,"Ce sont des cordes punaise, tu sais ce que font les cordes"
3d_leg_straps_name,Sangles de jambe 3D
3d_leg_straps_description,Modèles 3D low poly utiles pour empêcher les esclaves de courir de travers à haute vitesse dans les installations du Culte du défi ou au-delà
summer_skirt_name,Jupe d'été
summer_skirt_description,Beaucoup de ventilation disponible à l’avant pour combattre la nausée des mois d’été marécageux
janny_apron_name,Robe de femme de chambre
janny_apron_description,Le porteur reçoit des récompenses matérielles lorsqu’il termine un travail de nettoyage.
robo_mask_name,Masque de robot
robo_mask_description,"Ça donne l’impression que tu souris ! C’est de la tromperie, tu n’es pas heureux ! Tu ne peux même pas sourire avec son bâillon dans la bouche !"
rope_harness_name,Harnais de corde
rope_harness_description,Corde enroulée autour de l’ensemble de votre torse comme les nombreuses têtes d’une hydre ou par exemple les fils néfastes de la société qui nous enchevêtrent inexorablement. Ces cordes sont beaucoup plus faciles à échapper cependant.
failure_cage_name,Cage d’échec
failure_cage_description,Une cage honteuse seulement portée sur la tête par le pire des échecs.
ballet_shoes_name,Ballerines
ballet_shoes_description,"Chaussures d’apparence douce conçues pour aider un certain style de danse, et attachées avec des rubans brillants
latex_leotard_name,Justaucorps en latex
latex_leotard_description,Vêtement très simple qui couvre la plupart du torse humain sous sa membrane brillante
rope_gag_name,Gag de corde
rope_gag_description,La corde est suffisamment absorbante pour devenir mouillée avec de la bave au fil du temps.
chain_belt_name,Ceinture de chaîne
chain_belt_description,C’est une ceinture en chaîne ! Quelle surprise !
leashed_collar_name,Col en laisse
leashed_collar_description,"Collier avec des laisses et des chaînes attachées à divers points, que les adversaires du porteur peuvent trouver utiles dans le but de saisir et de manipuler"
vantawhite_boots_name,Bottes de vantawhite
vantawhite_boots_description,Bottes blanches brillantes qui sont reliées entre elles par un câble extensible qui ne limite pas particulièrement la foulée de l’utilisateur. Les bottes seront tirées fortement ensemble en présence d’ennemis.
black_panties_name,Culottes noires
black_panties_description,Ils sont suffisamment confortables mais plus minces et plus délicats que vous ne le souhaitez.
shock_collar_name,Collier électrique
shock_collar_description,"Un anneau gênant pour le cou, qui donne une forte décharge électrique à ceux qui osent avoir des intentions violentes en le portant."
trousers_name,Pantalon décontracté
trousers_description,Des couvertures de jambes faciles pour ceux qui ne se soucient pas d’exercer une énorme quantité d’efforts dans le département des vêtements.
arm_cables_name,Câbles de bras
arm_cables_description,Câbles audio retirés de leur objectif initial et mis au travail pour empêcher les armes de commettre des malices
test_name,
test_description,
lucky_blindfold_name,Bandeau porte-bonheur
lucky_blindfold_description,Ce bandeau restera PROBABLEMENT ouvert au début de chaque étage et permettra à l’utilisateur de voir correctement. Mais que se passe-t-il s’il ne le fait pas ?
pony_boots_name,Bottes de poney
pony_boots_description,"Ces bottes à sabots ne disposent pas d’un talon pour le soutien, et cela rendra l’utilisateur instable et plus susceptible de trébucher lorsqu’il effectue des actions rapides telles que claquer."
tape_calves_name,Bande de mollet
tape_calves_description,Pour les personnes qui n’ont pas besoin de se dégourdir les jambes de si tôt.
fishnet_sleeves_name,Manches en filet
fishnet_sleeves_description,Ils ne fournissent pas beaucoup de protection contre le froid, mais si vous avez besoin d’attraper un poisson en forme de bras, vous serez parfaitement bien préparé.
cable_name,Câble
cable_description,Câble audio qu’un esprit entreprenant pourrait utiliser pour attacher et retenir les gens
janny_collar_name,Collier de femme de ménage
janny_collar_description,"Avertit le porteur si le nettoyage doit être fait à proximité. Les guérit s’ils terminent le nettoyage, les punit s’ils échouent, soit par électrochoc ou en matérialisant plus de contraintes sur leur corps.
tentacle_head_name,Tentacules de tête
tentacle_head_description,"À part faire des mouvements brusques sur votre visage et dans votre bouche comme un poisson mourant, ceux-ci ne semblent pas causer beaucoup de problèmes."
ribbons_arms_name,Rubans de bras
ribbons_arms_description,Il est important de s’abstenir de se mêler de la décoration sur son corps. Les rubans ainsi attachés doivent ajouter à ladite décoration et aider à empêcher une telle ingérence.
black_bra_name,Soutif noir
black_bra_description,Underwear? Under where?
3d_mitts_name,3D mitts
3d_mitts_description,Modèles 3D low poly utilisés pour contenir les mains des esclaves coquins de sorte qu’ils ne puissent pas effectuer d’actions manuelles interdites
ballet_boots_name,Bottes de ballet
ballet_boots_description,Talons hauts d’un angle complètement déraisonnable. Personne d’autre que les meilleurs athlètes du monde ne sont capables de marcher à plus d’une allure mincing dans ces derniers sans trébucher
compliance_cuffs_name,Manchettes de conformité
compliance_cuffs_description,"Un ensemble de brassards qui aident à motiver la conformité : si le porteur de ces brassards enlève l’une de ses entraves, il recevra un électrochoc puissant."
control_suit_name,Combinaison de contrôle
control_suit_description,"Revêtement métallique de la plupart du torse, tenant de nombreux gadgets électriques par lesquels le porteur peut être contrôlé par une partie éloignée."
spectral_mitts_name,Moufles spectrales
spectral_mitts_description,"Ils obscurcissent l’utilisation de vos mains tout aussi légèrement qu’ils obscurcissent votre vision d’eux. Vous avez l’impression qu’ils pourraient débloquer sa prise fantomatique lorsque vous passez à un nouvel étage, ce qui vous permet de les retirer."
tape_thighs_name,Bande de cuisse
tape_thighs_description,"Moyen pratique d’empêcher les gens de faire des choses aussi désagréables et impolies que courir, pratique et facile à cacher sous une robe ou un long manteau !"
tape_torso_name,Bande corporelle
tape_torso_description,"Ne retient même pas le porteur, c’est à peu près juste de la mode. Et c’est certainement une mode audacieuse ! Comme c’est audacieux et effronté, de s’envelopper dans du ruban adhésif comme ça !"
trainers_name,Entraîneurs
trainers_description,SPORTS ! Nous aimons le sport ici, n’est-ce pas ? C’est pourquoi nous avons préparé des chaussures parfaites pour l’occasion !
vantawhite_gloves_name,Gants de vantawhite
vantawhite_gloves_description,"Gants blancs brillants qui sont reliés par un câble extensible qui ne limite pas vraiment votre portée. Cela forcera cependant les gants à se refermer derrière le dos du porteur en présence d’ennemis.
rocket_boots_name,Bottes à propulsion
rocket_boots_description,"Bottes expérimentales conçues pour permettre à l’utilisateur de zipper et de se déplacer à grande vitesse. En réalité, ils ne permettent que des vitesses légèrement accrues puisque la puissance de la fusée est partiellement compensée par la difficulté de mouvement dans les talons hauts.
hard_hat_name,Casque
hard_hat_description,Faites attention aux objets qui tombent lorsque vous travaillez sur les chantiers.
3d_harness_name,Harnais 3D
3d_harness_description,Modèle 3D low poly utilisé pour envelopper le corps des esclaves afin qu’ils soient plus faciles à attraper et à manipuler pour ceux qui ont plus d’autorité.
tiara_name,Diadème
tiara_description,"Les princesses sont peut-être une chose du passé, mais cela ne vous empêchera pas d’en avoir l’air."
deadkey_piece_name,Pièce de dead key
deadkey_piece_description,"En vous rappelant votre connaissance des fractions apprises en classe il y a près de 30 ans, vous croyez que cela ressemble exactement à un tiers d’une clé."
latex_boxbinder_name,Armbinder en latex
latex_boxbinder_description,Tient les bras du porteur derrière eux de sorte qu’ils ne puissent pas toucher aux choses qui ne leur appartiennent pas.
sleeves_name,Manches
sleeves_description,Heureusement, ils ne vous empêchent pas vraiment d’utiliser vos bras
tape_arms_name,Bande de bras
tape_arms_description,"Écoute, tu n’as pas besoin d’utiliser tes bras de sitôt, n’est-ce pas ? Non, je ne le pensais pas."
formal_shoes_name,Chaussures habillées
formal_shoes_description,"Quelqu’un a mis de petits nœuds papillon sur eux, et c’est très mignon en effet."
pony_gloves_name,Gants de poney
pony_gloves_description,"Lorsque l’on détecte que la personne qui le porte a pris un autre objet dans un coffre-surprise, ces gants s’animent, déplaçant rapidement les bras pour forcer la personne à mettre l’autre objet."
fancy_dress_name,Costume
fancy_dress_description,"Bonne tenue à porter si vous voulez assister à un rassemblement nocturne d’élite des riches. Hélas, vous n’êtes ni élite, nocturne ou riche. Encore."
leg_reels_name,Enrouleurs de jambes
leg_reels_description,"Des images d’esclaves luttant dans leurs liens comme vous, ironiquement utilisées pour lier des esclaves qui luttent ensuite dans leurs liens tout en étant filmées afin de produire le prochain ensemble de bobines pour lier le prochain ensemble d’esclaves..."
head_chains_name,Chaînes de tête
head_chains_description,Cela... ne fait rien. C’est juste des chaînes drapées sur la tête.
tape_blindfold_name,Bandeau de bande
tape_blindfold_description,"Peut-être qu’il y a certaines choses que tu ne devrais pas regarder, au moins pour le moment."
cognitor_gloves_name,Gants Cognitor
cognitor_gloves_description,Ces gants permettent une interaction autorisée avec le réseau de la secte via des gestes de la main depuis n’importe quel endroit. En changeant leur texture, ils peuvent également interdire toute interaction non autorisée avec les écrans tactiles.
hand_wormsilk_r_name,Wormsilk de main gauche
hand_wormsilk_r_description,"Mèches soyeuses et détrempées, forgées autour de la main pour entraver l’activité manuelle, et attachées au sol pour ralentir le mouvement."
vantawhite_irons_name,Fer de Vantawhite
vantawhite_irons_description,"Poignets blancs brillants pour le bas des jambes, qui se resserrent en présence d’ennemis."
arm_chains_name,Chaînes de bras
arm_chains_description,Ceux-ci semblent entraver le libre mouvement des bras :(
distracting_monocle_name,Monocle distrayant
distracting_monocle_description,"Le motif tourbillonnant, il est tellement attrayant et rend difficile de se concentrer sur des tâches complexes."
puppy_harness_name,Harnais pour chiot
puppy_harness_description,Harnais de torse marquant le porteur comme un humble chien ne méritant pas un traitement favorable
robo_suit_name,Combinaison de robot
robo_suit_description,"Revêtement de torse en métal. Ce n’est pas trop serré, mais si vous avez un dos qui démange, vous ne pourrez pas le rayer."
hand_wormsilk_l_name,Wormsilk de main droite
hand_wormsilk_l_description,"Mèches soyeuses et détrempées, forgées autour de la main pour entraver l’activité manuelle, et attachées au sol pour ralentir le mouvement."
latex_stockings_name,Bas en latex
latex_stockings_description,"Les couvertures noires brillantes pour les jambes, qui heureusement pour tous les participants, ne gênent pas vraiment le porteur dans aucune de ses activités."
boxing_gloves_name,Gants de boxe
boxing_gloves_description,"Ces gants élastiques restreignent beaucoup vos mains. Mais le bon côté est que lorsque vous frappez un ennemi avec eux, l’ennemi se retrouve absolument à mi-chemin de la pièce.
janny_gloves_name,Gants de service
janny_gloves_description,"Ces gants empêcheront toute tentative d’enlever d’autres articles de ménage, mais permettront à l’utilisateur d’atteindre plus facilement les détritus nécessitant un nettoyage, et de repousser les obstacles pendant qu’il fait ce nettoyage."
eye_orbs_name,Orbes d’œil
eye_orbs_description,Des orbes opaques attachées aux orbites par aspiration. X marque chaque œil pour permettre aux spectateurs d’identifier la cécité du porteur.
necklace_name,Collier
necklace_description,Très brillant et orné de bijoux.
corset_name,Corset
corset_description,Sous-vêtement prétendu serré qui resserre la taille et, ce faisant, entrave la respiration et la récupération de l’endurance.
hourglass_corset_name,Corset sablier
hourglass_corset_description,Un moyen simple et facile de réaliser une silhouette en sablier.
tentacle_torso_name,Tentacules du corps
tentacle_torso_description,"Ils sont tous visqueux et chatouilleux, mais ne semblent pas trop entraver votre mouvement."
tutu_name,Tutu
tutu_description,"Très décoratif et chic, mais ce n’est pas idéal pour passer à travers les portes étroites."
suit_jacket_name,Veste de costume
suit_jacket_description,"Ooh la la, regarde-toi, très élégant ! Même avec un noeud papillon attaché que tu n’as pas besoin de connaissances spécialisées pour porter correctement. Donc je suppose que ce n’est pas si chic.
head_reels_name,Bobine de tête
head_reels_description,"En raison de la transparence partielle de ce matériau et des trous que sa conception nécessite, il n’est pas entièrement efficace comme un bandeau"
spectral_gag_name,Gag spectral
spectral_gag_description,"Il ne remplit pas votre bouche mais chaque fois que vous ouvrez la bouche, vous apprenez à quel point l’ectoplasme peut avoir un goût désagréable. Vous avez l’impression qu’il pourrait débloquer sa prise fantomatique lorsque vous passez à un nouvel étage, ce qui vous permet de l’enlever.
steel_knuckles_name,Doigts en acier
steel_knuckles_description,"Fabriqués par des experts pour battre la merde de certaines ordures, ces jointures causeront que vos claques par défaut infligent des dégâts."
vantawhite_belt_name,Ceinture de vantawhite
vantawhite_belt_description,"Ceinture qui serre l’entrejambe du porteur, et produit un flux constant de blanc. Parfois, cette substance fusionnera en un nouvel objet blanc directement sur le corps de l’utilisateur.
ribbons_torso_name,Rubans de corps
ribbons_torso_description,"Des rubans enveloppés tout le long du torse du corps, comme une sorte de serpent brillant."
moustache_name,Déguisement épatant
moustache_description,"ELIZA? QUI EST-CETTE ELIZA? IL N’Y A PERSONNE ICI À PART MOI, ELIAS! SÛREMENT VOUS ÊTES CONFUS BON MONSIEUR, SÛREMENT VOUS PLAISANTEZ! JE N’AI JAMAIS ENTENDU PARLER DE PERSONNE DU NOM D’ELIZ-
ouais ce déguisement est juste incroyablement merdique, n’importe qui devrait avoir un QI de température de réfrigérateur pour être dupé par ça.
oil_collar_name,Collier d’huile
oil_collar_description,"Collier qui suinte une sorte d’huile lubrifiante, ce qui facilite l’élimination des objets"
short_shawl_name,Châle court
short_shawl_description,"Article comprenant à la fois du latex et de la résille, et qui échoue littéralement à couvrir toute zone intime du corps. Regarde, ton ventre est toujours clairement visible !
3d_ballgag_name,Ballgag 3D
3d_ballgag_description,Un modèle 3D low poly réduisant au silence ces esclaves qui utiliseraient leur langue contre les souhaits du culte du défi
vantawhite_hat_name,Chapeau de vantawhite
vantawhite_hat_description,"Chapeau blanc brillant qui s’attache à la tête de l’utilisateur d’une manière complexe, et bombarde son cerveau avec des vagues déchaînées, le rendant plus difficile pour eux de retirer les objets compliqués et les rendant enclins à des accidents maladroits."
vantawhite_gag_name,Gag de vantawhite
vantawhite_gag_description,"Un bâillon allongé attaché à des piercings dans la joue. Habituellement, il est suspendu de manière sûre et pratique sous le menton, mais en présence d’ennemis, il se rétracte pour entrer et remplir la bouche du porteur.
crown_name,Couronne
crown_description,"Bien que les maisons royales ne soient plus considérées dans ces terres, leur goutte à goutte impeccable ne tombera jamais en disgrâce."
foot_wormsilk_l_name,Wormsilk de pied droit
foot_wormsilk_l_description,Des brins soyeux détrempés enveloppant le pied afin de rendre plus difficile les tentatives de se déplacer à vitesse.
ribbons_neck_name,Rubans de cou
ribbons_neck_description,Il est dommage pour quelqu’un de se promener avec le cou nu.
bad_dog_muzzle_name,Mauvais museau de chien
bad_dog_muzzle_description,"Hé attends une minute, cette muselière contient un bâillon ! Tu ne pourras pas parler du tout en portant ça, quelle terrible tromperie !"
leg_chains_name,chaînes de pieds
leg_chains_description,"Chaînes encerclant les jambes et empêchant la libre circulation, et qui ont tendance à se bloquer."
arm_ties_name,Liens de bras
arm_ties_description,Des cordes disposées pour forcer vos bras à se tourner vers l’arrière.
latex_gloves_name,Gants en latex
latex_gloves_description,"Gants noirs brillants qui s’accrochent à vos bras, jusqu’aux épaules, et sont glissants au toucher."
long_skirt_name,Jupe longue
long_skirt_description,Pour couler et draper comme un rideau depuis la hanche ; Pour supporter le goutte d’eau le plus malade de l’année
chain_collar_name,Collier de chaîne
chain_collar_description,Chaîne encerclant un collier en cuir régulier.
spectral_legs_name,Attaches de jambe spectrales
spectral_legs_description,"Extoplasme goopy liant vos jambes plus serré qu’on ne s’y attendrait à première vue. Vous avez l’impression qu’il pourrait débloquer sa prise fantomatique lorsque vous passez à un nouvel étage, ce qui vous permet de l’enlever.
high_heels_name,Talon haut
high_heels_description,Des chaussures parfaitement ordinaires qui élèvent l’utilisateur au-dessus du sol et entravent le processus de marche.
arm_warmers_name,Manchettes
arm_warmers_description,Bon équipement solide à utiliser au cas où le temps serait surmonté d’un froid terrible qui cible spécifiquement les avant-bras.
top_hat_name,Haut-de-forme
top_hat_description,Un beau chapeau qui repose somptueusement sur la tête et n’entrave en rien l’activité.
janny_visor_name,Visière de femme de chambre
janny_visor_description,"Concentre la vision du porteur sur la direction vers le poste de domestique le plus proche, si un existe."
maid_dress_name,Fausse robe de femme de chambre
maid_dress_description,"Une imitation de la tenue honorable des servantes qui nettoient et entretiennent l’endroit. Cependant, on peut deviner quel est l’endroit."
ribbons_legs_name,Rubans de jambe
ribbons_legs_description,Envelopper les jambes de quelqu’un dans des rubans décoratifs est une excellente façon de mettre en valeur leur corps et de les maintenir de force dans un endroit où ils peuvent être vus.
simple_collar_name,Col simple
simple_collar_description,"Un collier très lâche, qui est simple à enlever pour quiconque."
golden_handcuffs_name,Menottes dorées
golden_handcuffs_description,Dommage que ce jeu n’ait pas de couleur. Je suis sûr qu’ils seraient vraiment quelque chose à voir dans toute leur gloire dorée.
dog_ears_name,Oreilles de chien
dog_ears_description,Malheureusement, ce sont de simples accessoires qui ne confèrent pas à l’utilisateur une audition canine améliorée
ballgag_name,Ballgag
ballgag_description,Regarde dans le puissant Orbe du Silence et sache que tes jours de parole ont pris une fin abrupte.
torso_wormsilk_name,Torse en wormsilk
torso_wormsilk_description,Des fils soyeux détrempés s’amassent autour de la section centrale et s’accrochent au sol afin de ralentir le mouvement
convincing_letter_of_resignation_name,Lettre de démission convaincante
convincing_letter_of_resignation_description,"Waouh, cette combinaison de mots vous convainc que celui qui a écrit cette lettre mérite vraiment de démissionner de… quel que soit son poste."
thigh_cables_name,Câbles de cuisse
thigh_cables_description,"Câbles conçus pour transmettre l’audio, maintenant réutilisés pour restreindre la foulée"
foot_wormsilk_r_name,Wormilk de pied gauche
foot_wormsilk_r_description,Des brins soyeux détrempés enveloppant le pied afin de rendre plus difficile les tentatives de se déplacer à vitesse.
robo_legs_name,Jambes de robot
robo_legs_description,"Couvercles métalliques pour les pieds, constitués de plusieurs panneaux distincts scellés électroniquement ensemble."
spectacles_name,Lunettes
spectacles_description,"Vous n’avez pas vraiment besoin de ceux-ci pour voir, mais vous aimez leur apparence sur votre tête."
spectral_blindfold_name,Bandeau spectral
spectral_blindfold_description,"Ce n’est pas très efficace. Vous avez l’impression qu’il pourrait débloquer sa prise fantomatique lorsque vous passez à un nouvel étage, vous permettant de l’enlever."
miniskirt_name,mini-jupe
miniskirt_description,Il est trop court pour couvrir votre sous-vêtement. N’y a-t-il pas quelque chose que vous pouvez porter de plus long ?
headphones_name,Casque
headphones_description,"Ils bloquent légèrement l’entrée audio de l’environnement, mais ils permettent également une entrée audio depuis des sources distantes telles que vos propriétaires ou un livreur perdu ou l’un de vos nombreux exemplaires du jeu de l’année 2023 Omnigon."
rope_blindfold_name,Bandeau de corde
rope_blindfold_description,"Des espaces mineurs entre les cordes rendent ce bandeau moins efficace qu’il ne pourrait l’être autrement. Je ne voudrais tout de même pas faire un footrace en le portant."
chest_chains_name,Chaînes de poitrine
chest_chains_description,"Des chaînes parfaitement ordinaires, bien que celles qui ont d’une manière ou d’une autre tendance à se verrouiller en place"
robo_arms_name,Bras de robot
robo_arms_description,"Couvertures métalliques sur les deux bras, faites de plusieurs panneaux électroniquement scellés ensemble."
leather_jacket_name,Veste en cuir
leather_jacket_description,"Tu dois faire attention en bougeant ta tête, ces piques ne sont pas une blague."
pony_bridle_name,Bridle de poney
pony_bridle_description,"Ce harnais de tête dispose d’un bitgag rétractable et d’œillères, qui peuvent apparaître dans les cas où le porteur effectue des actions désordonnées par la secte"
collar_name,Collier
collar_description,"Un collier normal et ordinaire, bon pour saisir."
ankle_cables_name,Câbles de cheville
ankle_cables_description,"Câbles autrefois utilisés pour transmettre des données audio, maintenant utilisés pour attacher les jambes ensemble"
waist_chains_name,Chaînes à la taille
waist_chains_description,"Chaînes normales, enroulées autour de la taille comme un serpent ou un câble particulièrement robuste."
thigh_boots_name,Cuissardes
thigh_boots_description,Bottes qui vont à la cuisse
pentagram_top_name,Haut en pentagramme
pentagram_top_description,"Faites attention à déplacer votre doigt autour de votre poitrine, de peur d’invoquer accidentellement une succube."
ioxic_acid_name,Acide ioxique
ioxic_acid_description,Flacon d’acide hyper puissant qui dissout facilement tout autre chose que la chair. Votre douche a été modifiée pour gérer un tel acide sans se dissoudre, vous pouvez donc prendre une douche dans cet acide afin de détruire toutes les tenues actuellement portées.
cash_straps_name,Cash Straps
cash_straps_description,"Les pièces qui relient ces bandes sont des artefacts historiques et ne sont plus en circulation commune, probablement qu’aucun magasin ne les accepterait comme paiement."
latex_blindfold_name,Bandeau en latex
latex_blindfold_description,Une couverture en caoutchouc qui élimine presque complètement la capacité de voir de l’utilisateur
leg_warmers_name,Jambières
leg_warmers_description,"Bon matériau solide, utile pour garder les mollets au chaud si par exemple pataugeaient dans la neige profonde."
vantawhite_blindfold_name,Visière en vantawhite
vantawhite_blindfold_description,Visière qui pend au-dessus des yeux du porteur pour bloquer sa vision. Se rétracte pour lui permettre de voir si les ennemis sont autour.
chain_heels_name,Talons de chaîne
chain_heels_description,Chaussures avec une chaîne attachée qui se verrouille automatiquement sur la jambe de l’utilisateur.
reel_name,Bobine
reel_description,"Des vidéos brutes d’esclaves ligotés et contraints à agir en faveur de la secte, tout comme vous l’avez été récemment. Regarder rapidement par-dessus les cadres ne révèle pas un récit terriblement convaincant en dehors de cela.
cognitor_boots_name,Bottes de Cognitor
cognitor_boots_description,"Ces bottes comportent des antennes pour améliorer la connexion du porteur au réseau de la secte, et des poignées par lesquelles les autorités peuvent attraper et malmener le porteur."
ball_and_chain_name,Boulet
ball_and_chain_description,"Traîne sur le sol derrière toi, diminuant gravement ta capacité à bouger habilement."
moneygag_name,Gag d’argent
moneygag_description,Un sac plein de pièces est un suppresseur étonnamment efficace du discours cohérent. Malheureusement, le sac est scellé et donc les pièces ne peuvent pas être dépensées.
tape_head_name,Bande de tête
tape_head_description,"Moyen rapide et fiable de s’assurer que ceux qui ne devraient pas parler ou voir, ne sont pas en mesure de le faire."
cognitor_mask_name,Masque de Cognitor
cognitor_mask_description,"Pièce maîtresse du Cognitor, ce masque fournit au porteur des informations et des instructions provenant du réseau de la secte, lui demandant d’appliquer les règles aux autres esclaves."
pony_harness_name,Harnais de poney
pony_harness_description,"Un harnais qui augmente considérablement la facilité avec laquelle le porteur est attrapé, et entraîne un coût d’endurance important pour se libérer de ces prises"
banknote_bra_name,Soutien-gorge pour billets de banque
banknote_bra_description,"L’argent dans ce soutien-gorge n’est pas à vous pour le dépenser, car il appartient au Culte du Défi ! Voler leur argent rencontre les plus fortes pénalités."
paws_name,Pattes
paws_description,Des pattes rembourrées qui couvrent les mains et compliquent toute interaction avec des objets fins ou précis
holy_shirt_name,Chemise sainte
holy_shirt_description,Un T-shirt parfaitement ordinaire sans aucune qualité suspecte.
mitts_name,Gants en cuir
mitts_description,"Ils couvrent les mains, empêchant l’utilisation d’outils fins."
mic_operator_name,Opérateur de micro
mic_operator_description,
giftwrapper_name,Giftwrapper
giftwrapper_description,
test_name,
test_description,
vfx_artist_name,artiste VFX
vfx_artist_description,
whitener_name,blanchisseur
whitener_description,
silkworm_name,Silkworm
silkworm_description,
archivist_name,Archivist
archivist_description,Gardien des piles de films absolument gargantuesques amassées par le Culte du défi dans leurs efforts de réalisation cinématographique. Seuls les archivistes sont capables de trouver un extrait de film donné sur demande
camera_operator_name,Caméraman
camera_operator_description,
lockbot_name,Lockbot
lockbot_description,
